srl,field_name,name,block,item,length,byte_start,byte_end,remarks
44,has_sas,Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,89,89,
45,loc_pas,(Principal)location Of Workplace Code,5.1,8,2,90,91,
46,etyp_pas,(Principal) Enterprise Type Code,5.1,9,2,92,93,
47,wrkr_pas,(Principal) No. Of Workers In The Enterprise,5.1,10,1,94,94,
48,job_pas,(Principal)  Type Of Job Contract,5.1,11,1,95,95,
49,leave_pas,(Principal) Eligble Of Paid Leave,5.1,12,1,96,96,
50,ssec_pas,(Principal) Social Security Benefits,5.1,13,1,97,97,
51,ecoprd_pas,(Principal) Usage of product of the economic activity,5.1,14,1,98,98,
52,sas,Status Code,5.2,3,2,99,100,
53,ind_sas,Industry Code (NIC),5.2,5,5,101,105,
54,ocu_sas,Occupation Code (NCO),5.2,6,3,106,108,
55,loc_sas,(Subsidiary) location Of Workplace Code,5.2,7,2,109,110,
56,etyp_sas,(Subsidiary)  Enterprise Type Code,5.2,8,2,111,112,
57,wrkr_sas,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,113,113,
58,job_sas,(Subsidiary)   Type Of Job Contract,5.2,10,1,114,114,
59,leave_sas,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,115,115,
60,ssec_sas,(Subsidiary)  Social Security Benefits,5.2,12,1,116,116,
61,ecoprd_sas,(Subsidiary) Usage of product of the economic activity,5.2,13,1,117,117,
62,wrk_365,Ever Worked Prior to last 365 days,5.3,5,1,118,118,
63,dur_pas,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,119,119,
64,dur_sas,Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1,120,120,
65,eff_pas,Efforts undertaken to search work,5.3,8,1,121,121,
66,dur_unp,Duration of spell of Unemployment,5.3,9,1,122,122,
67,evr_wrk,Whether Ever Worked ,5.3,10,1,123,123,
68,rea_nw, Reason for not working in last 365 days,5.3,11,2,124,125,
69,rea,Main reason for being in Principal activity status (91 to 97) ,5.3,12,1,126,126,
70,das17,Status Code for activity 1,6,4/3.1,2,127,128,
71,ind17,Industry Code (NIC) for activity 1,6,5/3.1,2,129,130,
72,hr17,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,131,132,
73,ern17,wage earning for activity 1 on 7 th day,6,9/3.1,5,133,137,
74,das27,Status Code for activity 2,6,4/3.1,2,138,139,
75,ind27,Industry Code (NIC) for activity 2,6,5/3.1,2,140,141,
76,hr27,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,142,143,
77,ern27,wage earning for activity 2 on 7 th day,6,9/3.1,5,144,148,
78,hr7,total hours actually worked on 7th day,6,7/3.1,2,149,150,
79,ahr7,hours available for aditional worked on 7th day,6,8/3.1,2,151,152,
80,das16,Status Code for activity 1,6,4/3.2,2,153,154,
81,ind16,Industry Code (NIC) for activity 1,6,5/3.2,2,155,156,
82,hr16,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,157,158,
83,ern16,wage earning for activity 1 on 7 th day,6,9/3.2,5,159,163,
84,das26,Status Code for activity 2,6,4/3.2,2,164,165,
85,ind26,Industry Code (NIC) for activity 2,6,5/3.2,2,166,167,
86,hr26,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,168,169,
87,ern26,wage earning for activity 2 on 6 th day,6,9/3.2,5,170,174,
88,hr6,total hours actually worked on 6th day,6,7/3.2,2,175,176,
89,ahr6,hours available for aditional worked on 6th day,6,8/3.2,2,177,178,
90,das15,Status Code for activity 1,6,4/3.3,2,179,180,
91,ind15,Industry Code (NIC) for activity 1,6,5/3.3,2,181,182,
92,hr15,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,183,184,
93,ern15,wage earning for activity 1 on 5 th day,6,9/3.3,5,185,189,
94,das25,Status Code for activity 2,6,4/3.3,2,190,191,
95,ind25,Industry Code (NIC) for activity 2,6,5/3.3,2,192,193,
96,hr25,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,194,195,
97,ern25,wage earning for activity 2 on 5 th day,6,9/3.3,5,196,200,
98,hr5,total hours actually worked on 5th day,6,7/3.3,2,201,202,
99,ahr5,hours available for aditional worked on 5th day,6,8/3.3,2,203,204,
100,das14,Status Code for activity 1,6,4/3.4,2,205,206,
101,ind14,Industry Code (NIC) for activity 1,6,5/3.4,2,207,208,
102,hr14,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,209,210,
103,ern14,wage earning for activity 1 on 4th day,6,9/3.4,5,211,215,
104,das24,Status Code for activity 2,6,4/3.4,2,216,217,
105,ind24,Industry Code (NIC) for activity 2,6,5/3.4,2,218,219,
106,hr24,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,220,221,
107,ern24,wage earning for activity 2 on 4th day,6,9/3.4,5,222,226,
108,hr4,total hours actually worked on 4th day,6,7/3.4,2,227,228,
109,ahr4,hours available for aditional worked on 4th day,6,8/3.4,2,229,230,
110,das13,Status Code for activity 1,6,4/3.5,2,231,232,
111,ind13,Industry Code (NIC) for activity 1,6,5/3.5,2,233,234,
112,hr13,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,235,236,
113,ern13,wage earning for activity 1 on 3rd day,6,9/3.5,5,237,241,
114,das23,Status Code for activity 2,6,4/3.5,2,242,243,
115,ind23,Industry Code (NIC) for activity 2,6,5/3.5,2,244,245,
116,hr23,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,246,247,
117,ern23,wage earning for activity 2 on 3 rd day,6,9/3.5,5,248,252,
118,hr3,total hours actually worked on 3rd day,6,7/3.5,2,253,254,
119,ahr3,hours available for aditional worked on 3rd day,6,8/3.5,2,255,256,
120,das12,Status Code for activity 1,6,4/3.6,2,257,258,
121,ind12,Industry Code (NIC) for activity 1,6,5/3.6,2,259,260,
122,hr12,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,261,262,
123,ern12,wage earning for activity 1 on 2nd day,6,9/3.6,5,263,267,
124,das22,Status Code for activity 2,6,4/3.6,2,268,269,
125,ind22,Industry Code (NIC) for activity 2,6,5/3.6,2,270,271,
126,hr22,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,272,273,
127,ern22,wage earning for activity 2 on 2nd day,6,9/3.6,5,274,278,
128,hr2,total hours actually worked on 2nd day,6,7/3.6,2,279,280,
129,ahr2,hours available for aditional worked on 2nd day,6,8/3.6,2,281,282,
130,das11,Status Code for activity 1,6,4/3.7,2,283,284,
131,ind11,Industry Code (NIC) for activity 1,6,5/3.7,2,285,286,
132,hr11,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,287,288,
133,ern11,wage earning for activity 1 on 1st day,6,9/3.7,5,289,293,
134,das21,Status Code for activity 2,6,4/3.7,2,294,295,
135,ind21,Industry Code (NIC) for activity 2,6,5/3.7,2,296,297,
136,hr21,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,298,299,
137,ern21,wage earning for activity 2 on 1st day,6,9/3.7,5,300,304,
138,hr1,total hours actually worked on 1st day,6,7/3.7,2,305,306,
139,ahr1,hours available for aditional worked on 1st day,6,8/3.7,2,307,308,
140,tothrs_wrk,total hours actually worked during the week,6,4 (7),3,309,311,
141,totadl_wrk,total hours available for additional work,6,4 (8),3,312,314,
142,acws,Current Weekly Status (CWS),6,5,2,315,316,
143,aind_cws,Industry Code (CWS),6,6,2,317,318,
144,ocu_cws,Occupation Code (CWS),6,7,3,319,321,
145,ern_reg,Earnings For Regular Salaried/Wage Activity,6,9,8,322,329,
146,ern_self,Earnings For Self Employed,6,10,8,330,337,
147,nsc,Ns count (# of FSUs surveyed) for sector x stratum x group x substratum,,,3,338,340,
148,mult,Multiplier,,,10,341,350,
149,totalsd,Total Sub-Division,,,3,351,353,
150,zst,Stratum size,,,10,354,363,
151,caph,Number of listed households,,,4,364,367,
152,smallh,Number of selected households,,,2,368,369,
153,panel,Panel code,,,2,370,371,05' generated
