code,description,nco_2004_code
1221.9900,"Sales and Marketing Managers, Other",1233.90
1222.0100,"Manager, Advertising and Promotion",1234.10
1222.0200,"Manager, Fashion/Fashion Manager",1234.20
1222.9900,Advertising and Public Relations Department,1234.90
1311.0100,"General Manager, Plantation",1301.20
1311.0200,"General Manager, Horticulture",1301.30
1311.0300,"General Manager, Agricultural Farm",1301.10
1311.0400,"General Manager, Livestock Farm",1301.40
1311.0500,"General Manager, Dairy Farm",1301.50
1311.0600,"General Manager, Poultry",1301.60
1311.0700,"Manager, Agricultural Farm",1221.10
1311.0800,"Manager, Plantation",1221.20
1311.0900,"Manager, Nursery",1221.22
1311.1000,"Manager, Aerial Planting and Cultivation",1221.24
1311.1100,"Manager, Orchard",1221.26
1311.1200,"Manager, Horticulture Farm",1221.30
1311.1300,"Manager, Livestock Farm",1221.40
1311.1400,"Manager, Dairy Farm",1221.50
1311.1500,"Manager, Poultry Farm",1221.60
1311.9900,"Agricultural and Forestry Production Managers,",1221.90
1321.0100,"Manager, Electricity",1222.40
1321.0200,Terminal Manager,1222.45
1321.0300,"Manager, Gas",1222.50
1321.0400,"Manager, Water Supply",1222.60
1321.0500,"Manager, Food Processing Plant",1222.65
1321.0600,"Manager, Manufacturing",1222.70
1321.0700,"General Manager, Electricity",1302.40
1321.0800,"General Manager, Gas",1302.50
1321.0900,"General Manager, Water Supply",1302.60
1321.1000,"General Manager, Manufacturing",1302.70
1321.9900,"Manufacturing Managers, Other",1302.90
1322.0100,"Manager, Mine",1222.10
1322.0200,"Manager, Quarry",1222.20
1322.0300,"Manager, Well Drilling",1222.30
1322.0400,"General Manager, Mine",1302.10
1322.0500,"General Manager, Quarry",1302.20
1322.0600,"General Manager, Well Drilling",1302.30
1322.9900,"Mining Managers, Other",1222.90
1323.0100,"Manager, Construction/Manager Construction",1223.10
1323.0200,"Manager, Land Survey",1223.20
1323.0300,"General Manager, Construction/General",1303.10
1323.9900,"Construction Managers, Other",1303.90
1324.0100,"Manager, Material Control/Manager Materials",1235.10
1324.0200,"Manager, Transport",1226.10
1324.0300,"Station Master, Roadways",1226.15
1324.0400,"Traffic Inspector, Motor Transport",1226.17
1324.0500,"Manager, Traffic",1226.20
1324.0600,"Traffic Inspector, Railway",1226.25
1324.0700,"Traffic Inspector, Tram",1226.29
1324.0800,"Manager, Flight Operation",1226.30
1324.0900,Aerodrome Officer,1226.35
1324.1000,"Flight Operation Officer, Air Service",1226.37
1324.1100,"Traffic Officer, Air Service/Traffic Controller",1226.39
1324.1200,"Manager, Storage and Warehousing",1226.50
1324.1300,"Goods Supervisor, Railway",1226.52
1324.1400,"Goods Supervisor, Road Transport",1226.54
1324.1500,"Station Master, Railway",1226.60
1324.1600,"Platform Inspector, Railway",1226.62
1324.1700,"Rates Inspector, Railway",1226.64
1324.1800,"Depot Starter, Tram",1226.65
1324.1900,"Section Controller, Railway",1226.67
1324.2000,"Accident Officer, Tram",1226.69
1324.2100,"General Manager, Transport",1306.10
1324.2200,"General Manager, Storage and Warehousing",1306.30
1324.9900,"Supply, Distribution and Related Managers and",1226.90
1330.0100,"Manager, Communication",1226.40
1330.0200,"Contract Officer, Telephone/Liaising Officer/",1226.70
1330.0300,Post Master,1226.80
1330.0600,"General Manager, Communication",1306.20
1345.0100,Headmaster,1229.20
1346.0100,"Manager, Bank",1227.10
1346.0200,"Manager, Insurance",1227.20
1346.9900,Financial and Insurance Service Branch,1227.90
1411.0100,"Manager, Lodging and Catering",1225.10
1411.0200,"General Manager, Lodging and Catering Services",1305.10
1411.9900,"Hotel Managers, Others",1225.90
1412.0100,"Manager, Fast Food Service",1225.20
1412.9900,"Restaurant Managers, Other",1305.90
1420.0100,"Manager, Wholesale Trade",1224.10
1420.0200,"Manager, Retail Trade",1224.20
1420.0300,"Manager, Export",1224.30
1420.0400,"General Manager, Wholesale Trade/Senior",1304.10
1420.0500,"General Manager, Retail Trade, Senior Manager,",1304.20
1420.9900,"Retail and Wholesale Trade Managers, Other",1304.90
1431.0100,"General Manager, Recreation and Entertainment",1309.10
1431.9900,"Sports, Recreation and Cultural Centre Manager,",1309.90
2111.0100,"Physicist, General",2111.10
2111.0200,"Physicist, Mechanics",2111.15
2111.0300,"Physicist, Heat",2111.20
2111.0400,"Physicist, Light",2111.25
2111.0500,"Physicist, Sound",2111.30
2111.0600,"Physicist, Electricity and Magnetism",2111.35
2111.0700,"Physicist, Electronics",2111.40
2111.0800,"Physicist, Nuclear",2111.50
2111.0900,Astronomer,2111.60
2111.1000,Metrologist,2119.10
2111.1100,Material Scientist,2119.20
2111.9900,"Physicists and Astronomers, Other",2111.90
2112.0100,Meteorologist,2112.10
2112.9900,"Meteorologists, Other",2112.90
2113.0100,"Chemist, General",2113.10
2113.0200,"Chemist, Organic",2113.20
2113.0300,"Chemist, Inorganic",2113.30
2113.0400,"Chemist, Physical",2113.40
2113.0500,"Chemist, Analytical",2113.50
2113.0600,"Chemist, Industrial",2113.60
2113.0800,"Chemist, Forensic Science",2113.80
2113.9900,"Chemists, Other",2113.90
2114.0100,Geologist,2114.10
2114.0200,Petrologists,2114.20
2114.0300,Palaeontologist,2114.30
2114.0400,Geophysicist,2114.40
2114.0500,Hydrologist,2114.50
2114.0600,Mineralogist,2114.60
2114.0700,Seismologist,2114.70
2114.0800,Oceanographer,2114.80
2114.1500,"Geologist, Petroleum",2114.15
2114.5500,"Hydrographer, Waterworks",2114.55
2114.9900,"Geologists and Geophysicists, Other",2114.90
2120.0100,Mathematician,2121.10
2120.0200,Actuary,2121.20
2120.0300,Statistician,2122.10
2120.0400,"Statistician, Applied",2122.20
2120.0500,Operation Research Analyst,2122.30
2120.9900,"Mathematicians, Actuaries and Statisticians,",2122.90
2131.0100,"Biologist, General",2211.10
2131.0200,Marine Biologist,2211.15
2131.0300,Cytologist,2211.20
2131.0400,"Botanist, General",2211.35
2131.0500,Economic Botanist,2211.37
2131.0600,Plant Breeder,2211.40
2131.0700,Mycologist,2211.50
2131.0800,Algologist,2211.55
2131.0900,"Zoologist, General",2211.60
2131.1000,Entomologist,2211.65
2131.1100,Parasitologist,2211.70
2131.1200,Bacteriologist,2211.85
2131.1300,"Chemist, Biological",2212.10
2131.1400,"Chemist, Food",2212.20
2131.1500,Plant Pathologist,2212.70
2131.1800,Plant Physiologist,2212.80
2131.9900,"Biologists, Botanists, Zoologists and Related",2211.90
2132.0100,Agronomist,2213.10
2132.0200,Horticulturist,2213.20
2132.0300,Soil Scientist,2213.30
2132.0400,Soil Conservationist,2213.40
2132.0500,Silviculturist,2213.50
2132.0600,Wood Anatomist,2213.60
2132.0700,Dairy Scientist,2213.70
2132.0800,Poultry Scientist,2213.80
2132.0900,Pisciculturist,2211.80
2132.1000,"Farm Overseer, Crop Production",3213.10
2132.9900,"Agronomists and Related Professionals, Other",2213.90
2133.0100,Ecologist,2211.25
2133.0200,Environment Scientist (Including Health),2211.27
2133.0300,Taxonomist,2211.30
2133.0400,Paleobotanist,2211.45
2141.0100,"Works Inspector, Engineering/Inspection",2149.10
2141.0200,Instrument Engineer/Instrumentation Engineer,2149.15
2141.0300,Industrial Engineer,2149.76
2141.0400,Packaging Engineer,2149.77
2141.0500,Planning Engineer,2149.78
2141.0600,Methods Engineer,2149.80
2141.0800,Engineering Estimator/Estimation Engineer,2149.84
2141.0900,Agricultural Engineer,2149.18
2141.1000,Textile Technologist,2149.20
2141.1100,Nuclear Engineer,2149.23
2141.1200,Jute Technologist,2149.25
2141.1300,Fibre Technologist,2149.30
2141.1400,Spinning Master,2149.35
2141.1500,Weaving Master,2149.40
2141.1600,Dyeing and Bleaching Master (Textiles),2149.45
2141.1700,Printing Master (Textile),2149.50
2141.1800,Sugar Technologist,2149.55
2141.1900,Dairy Technologist,2149.57
2141.2000,Wood Technologist,2149.60
2141.2100,Leather Technologist,2149.65
2141.2200,Glass Technologist,2149.70
2141.2300,Ceramic Technologist,2149.72
2141.2400,Printing Technologist,2149.74
2141.2500,Safety Engineer,2149.85
2141.2600,Occupational Health and Safety Specialist,2149.86
2142.0100,"Civil Engineer, General",2142.10
2142.0200,"Civil Engineer, Building",2142.20
2142.0300,"Civil Engineer, Structural",2142.30
2142.0400,"Civil Engineer, Irrigation",2142.40
2142.0500,Hydraulic Engineer,2142.45
2142.0600,"Civil Engineer, Highways and Roads",2142.50
2142.0700,"Civil Engineer, Railways",2142.60
2142.0800,Airport Engineer,2142.65
2142.0900,"Civil Engineer, Public Health",2142.70
2142.1000,"Engineer, Waterworks",2142.72
2142.9900,"Civil Engineers, Other",2142.90
2143.0100,Solar Energy System Designer,2149.05
2143.0200,Bio-Medical Engineer,2149.17
2143.0300,Radiation Protection Engineer,2149.22
2143.0400,"Waste Management Engineer, Radioactive",2149.87
2143.0500,Pollution Control Engineer,2149.88
2144.0100,"Mechanical Engineer, General",2145.10
2144.0200,"Designer, Machine",2145.15
2144.0300,Tool Engineer,2145.20
2144.0401,"Mechanical Engineer, Production",2145.25
2144.0500,"Mechanical Engineer, Structural",2145.30
2144.0600,"Mechanical Engineer, Maintenance",2145.35
2144.0700,"Mechanical Engineer, Automobile",2145.40
2144.0800,Automobile Designer,2145.42
2144.0900,"Mechanical Engineer, Aeronautical",2145.45
2144.1000,"Mechanical Engineer, Marine",2145.50
2144.1100,"Architect, Naval",2145.55
2144.1200,"Mechanical Engineer, Air-Conditioning",2145.60
2144.9900,"Mechanical Engineers, Other",2145.90
2145.0100,"Chemical Engineer, General",2146.10
2145.0200,"Designer, Chemical Engineering",2146.20
2145.0300,"Chemical Engineer, Paints and Varnish",2146.30
2145.0400,"Chemical Engineer, Drugs and Acids",2146.35
2145.0500,"Chemical Engineer, Petroleum",2146.40
2145.0600,"Chemical Engineer, Fertilizers",2146.45
2145.0700,"Chemical Engineer, Food",2146.50
2145.0800,"Technologist, Food/Chemical Engineer",2146.55
2145.0900,"Technologist, Fuel",2146.60
2145.1000,Oil Technologist,2146.62
2145.1100,"Technologist, Paper",2146.68
2145.1200,"Technologist, Alcohol",2146.70
2145.1300,"Technologist, Rubber",2146.80
2145.1400,"Technologist, Plastics",2146.85
2145.9900,"Chemical Engineers and Technologists, Other",2146.90
2146.0100,"Mining Engineer, General",2147.10
2146.0200,"Mining Engineer, Non-Metals",2147.20
2146.0300,"Mining Engineer, Metal",2147.25
2146.0400,"Mining Engineer, Petroleum and Gas",2147.30
2146.0500,"Metallurgist, Extractive",2147.40
2146.0600,"Metallurgists, Adaptive",2147.50
2146.9900,"Mining Engineers, Metallurgists and Related",2147.90
2149.0100,"Engineers and Related Technologists, Other",2149.90
2151.0100,"Electrical Engineer, General",2143.10
2151.0200,"Designer, Electrical Engineering",2143.20
2151.0300,"Electrical Engineer, Generation and Supply",2143.30
2151.0400,Illumination Engineer,2143.40
2151.9900,"Electrical Engineers, Other",2143.90
2152.0200,Electronic Engineer,2144.60
2152.0301,Stress Analyst/Computer-Aided Test Executive,2144.65
2152.0400,Electro-Optical Engineer,2144.70
2152.9900,"Electronics Engineers, Other",2144.90
2153.0100,"Telecommunication Engineer, General",2144.10
2153.0200,"Radio Engineer, Telecommunication",2144.20
2153.0300,"Microwave Engineer, Telecommunication",2144.30
2153.0400,"Line Communication Engineer, Tele-",2144.40
2153.0500,Sound Engineer,2144.50
2161.0100,Architect,2141.10
2161.9900,"Building Architects, Other",2141.90
2163.0100,Package Designer/Packaging Designer,3471.80
2163.0400,Furniture Designer,3471.20
2163.0500,Fashion Designer,3471.40
2163.0600,Textile Designer,3471.45
2164.0100,Town Planner,2141.20
2164.0200,Traffic Planner,2141.30
2165.0100,Cartographer,2148.10
2165.0200,"Surveyor, Topographical",2148.20
2165.0300,Aerial – Photograph Interpreter,2148.25
2165.0400,"Surveyor, Photogrammetric",2148.30
2165.0500,"Surveyor, Mine",2148.40
2165.0600,"Surveyor, Hydrographic",2148.50
2165.9900,"Cartographers and Surveyors, Other",2148.90
2166.0100,Commercial Artist,2452.60
2166.0201,Multimedia Artist and Animator/Animator,2452.70
2166.0300,Web Designer,2452.80
2166.0501,Graphic Designer,3471.70
2211.0100,"Physician, General",2221.10
2211.0200,"Surgeon, General",2221.15
2211.0300,"Anatomist, Medical",2221.20
2211.0400,Anaesthetist,2221.25
2211.0500,Psychiatrist,2221.30
2211.9900,"Generalist Medical Practitioners, Allopathic,",2221.90
2212.0100,Neurologist,2221.35
2212.0200,Dermatologist,2221.40
2212.0300,Allergy Specialist,2221.42
2212.0400,"Ear, Nose and Throat Specialist",2221.45
2212.0500,Cardiologist,2221.50
2212.0600,Radiologist,2221.55
2212.0700,Tuberculosis Specialist,2221.60
2212.0800,Ophthalmologist,2221.65
2212.0900,Urologist,2221.68
2212.1000,Venereologist,2221.70
2212.1100,Obstetrician,2221.75
2212.1200,Gynaecologist,2221.78
2212.1300,Paediatrician,2221.80
2212.1400,Orthopaedist,2221.85
2212.1500,Pharmacologist,2212.30
2212.1600,Toxicologist (Pharmaceutical),2212.35
2212.1700,"Pathologist, Medical",2212.40
2212.1800,"Malariologist, Medical",2212.45
2212.1900,"Physiologist, Medical",2212.50
2212.9900,"Specialist Medical Practitioners, Other",2212.90
2221.0100,"Nurse, Specialist",2230.10
2221.9900,"Professional Nurses, Other",2230.90
2230.0100,"Physician, Ayurvedic",2222.10
2230.0200,"Physician, Homeopathic",2223.10
2230.0300,"Physician, Bio-Chemic/Bio Chemist",2223.20
2230.0400,"Physician, Unani",2224.10
2230.9900,"Traditional Medicine Practitioners, Other",3241.90
2240.0100,"Laboratory Assistant, Clinical",3221.10
2240.0400,Dresser,3221.40
2250.0100,Animal Pathologist,2212.60
2250.0200,"Veterinarian, General",2226.10
2250.0300,"Veterinarian, Surgeon",2226.20
2250.0400,Animal Genetist,2226.30
2250.0500,Zoo Veterinarian,2226.40
2250.0600,"Veterinarian, Poultry",2226.50
2250.9900,"Veterinarians, Other",2226.90
2261.0100,Dentist,2225.10
2261.0200,Oral and Maxillofacial Surgeon,2225.20
2261.0300,Orthodontist,2225.30
2261.0400,Periodontist,2225.40
2261.0500,Prosthodontist,2225.50
2261.0600,Paediatric Dentist,2225.60
2261.9900,"Dental Specialists, Other",2225.90
2262.0100,"Chemist, Pharmaceuticals",2113.70
2263.0100,Health Officer,2229.10
2263.0200,"Administrator, Hospital",2229.15
2263.9900,Environmental and Occupational Health and,3152.90
2264.0100,Physiotherapist,3226.10
2264.0200,Occupational Therapist,3226.20
2264.0300,Chiropodist,3226.30
2264.0400,Masseur,3226.40
2264.9900,Physiotherapists and Related Associate,3226.90
2265.0100,"Nutritionist, General",3223.10
2265.0200,"Dietician, General",3223.20
2265.0300,Animal Nutritionist,3223.30
2265.9900,"Dieticians and Nutritionists, Other",3223.90
2266.0100,Speech Therapist and Audiologist,3229.10
2266.0200,Speech Pathologist,3229.20
2266.0300,Voice Pathologist,3229.30
2267.9900,"Optometrists and Opticians, Other",3224.90
2269.0100,Naturopath,2229.20
2269.0200,"Physician, Osteopathic",2229.30
2269.0300,"Physician, Sidha",2229.40
2269.0400,"Physicians and Surgeons, Other",2229.90
2269.0500,Orthotist and Prosthetist,3229.40
2269.0600,Orientation & Mobility Instructor,3229.50
2269.0700,"Medical and Health Technicians, Other",3229.90
2310.0100,"University and College Teacher, Arts",2310.10
2310.0200,"University and College Teacher, Commerce",2310.15
2310.0300,"University and College Teacher, Management",2310.18
2310.0400,"University and College Teacher,",2310.20
2310.0500,"University and College Teacher,",2310.30
2310.0600,"University and College Teacher, Science",2310.40
2310.0700,"University and College Teacher, Engineering/",2310.45
2310.0800,"University and College Teacher, Information",2310.48
2310.0900,"University and College Teacher, Medicine and",2310.50
2310.1000,"University and College Teacher, Veterinary",2310.60
2310.1100,"University and College Teacher, Agricultural",2310.70
2310.1200,"University and College Teacher, Fine",2310.80
2310.9900,"Professors/Assistant Professors, Other",2310.90
2330.0100,"Senior Secondary and Secondary School Teacher,",2320.10
2330.0200,"Senior Secondary and Secondary School Teacher,",2320.12
2330.0300,"Senior Secondary and Secondary School Teacher,",2320.15
2330.0400,"Language Teacher, Senior Secondary and",2320.20
2330.9900,Senior Secondary and Secondary School,2320.90
2341.0100,Middle School Teacher,3311.10
2341.0200,"Language Teacher, Middle School",3311.20
2341.0400,Primary School Teacher,3312.10
2341.9900,"Primary School Teachers, Other",3312.90
2342.0100,"Teacher, Infant School/Teacher Pre-Primary",3320.10
2342.9900,Pre-Primary Education Teaching Associate,3320.90
2351.0100,School Inspector,2332.10
2351.9900,"Education Methods Specialists, Other",2331.90
2352.0100,Teacher for Visually Impaired,3330.10
2352.0200,Teacher for Hearing-Impaired,3330.20
2352.0300,Teacher for Differently-Abled (Mental),3330.30
2352.0400,Teacher for Differently-Abled (Physical),3330.40
2352.9900,"Teacher for Differently-Abled, Other",3330.90
2355.0100,Art Teacher,2339.10
2355.9900,"Arts Teacher, Other",2339.90
2356.0100,Manual Training Teacher/Craft Instructor,3340.10
2356.9900,"Information Technology Trainers, Other",3340.90
2359.0100,"Handwork Teacher/Teacher, Art and Craft",3340.20
2411.0100,Accountant,2411.10
2411.0200,Auditor,2411.20
2411.0300,Cost Accountant,2411.30
2412.0100,Financial Examiner,2411.40
2412.0200,Financial Analyst,2411.50
2412.0300,Budget Analyst,2411.60
2412.0400,Risk Management Analyst,2411.70
2412.0600,Commission Agent,3411.40
2412.9900,"Financial and Investment Advisors, Other",2411.90
2423.0100,Vocational Guidance Officer/Career Counsellors,2412.40
2423.0200,Counsellor,2412.50
2423.0500,Occupational Analyst,2412.75
2423.9900,"Personal and Careers Professionals, Other",2412.90
2424.0100,"Manpower Officer/Area Manager, Human",2412.10
2424.0200,"Employment Officer/Operation Head,",2412.20
2424.0300,Human Resource Manager,2412.30
2431.0100,Market Research Analyst,2419.40
2431.0300,Caption Writer,2451.47
2431.0400,Advertisement Writer,2451.50
2431.0700,Creative Writer,2451.52
2431.0800,Propagandist,3411.30
2432.0100,Publicity Officer,2419.10
2432.0200,Public Relations Officer,2419.20
2432.0300,Information Officer,2419.30
2432.9900,"Public Relations Professionals, Other",2419.90
2433.0201,Medical Representative,3415.20
2433.0700,"Field Officer, Insurance",3415.50
2511.0100,System Analysts,2131.10
2511.9900,"System Analysts, Other",2131.90
2512.0100,Computer Programmer/Software Engineer,2132.10
2512.0201,Software Engineer,2132.20
2512.0300,Programmer Analyst,2132.30
2512.0800,"Programmer, Engineering and Scientific/System",2132.40
2514.9900,"Computer Programmers, Other",2132.90
2519.0100,System Programmer,2132.50
2519.0300,Quality Assurance Analyst (Computers),2139.10
2521.0100,Database Design Analyst,2139.20
2522.0100,Database Administrator,2139.30
2523.0100,Data Communication Analyst/Network,2131.20
2523.0200,Computer System Hardware Analyst/Hardware,2139.40
2523.9900,"Computer Network Professionals, Other",2139.90
2611.0100,Attorney General of India,2421.10
2611.0200,Solicitor General of India,2421.20
2611.0300,Advocate General,2421.30
2611.0400,Legal Remembrancer,2421.40
2611.0500,Government Advocate,2421.50
2611.0600,Public Prosecutor,2421.60
2611.0700,Police Prosecutor,2421.65
2611.0800,Attorney at Law,2421.70
2611.0900,Advocate,2421.80
2611.9900,"Lawyers, Other",2421.90
2612.0100,"Judge, Supreme Court",2422.10
2612.0200,"Judge, High Court",2422.20
2612.0300,District and Session Judge,2422.30
2612.0400,Munsif,2422.40
2612.0500,"Judge, Subordinate Court",2422.50
2612.0600,Magistrate,2422.60
2612.0700,"Magistrate, Juvenile Court",2422.65
2612.0800,"Chairman, Administrative Tribunal",2422.70
2612.0900,"Member, Administrative Tribunal",2422.72
2612.1000,"President, Industrial Tribunal",2422.75
2612.1100,"Member, Industrial Tribunal",2422.80
2612.1200,"President, Consumer Redressal Forum",2422.85
2612.1300,"Member, Consumer Redressal Forum",2422.87
2612.9900,"Judges and Magistrates, Other",2422.90
2619.0100,Prothonotary and Senior Master,2429.10
2619.0200,"Registrar (Appellate Side, High Court)",2429.20
2619.0300,Registrar,2429.25
2619.0400,Master Official Referee and Registrar in Equity,2429.30
2619.0500,Taxing Master,2429.40
2619.0600,Insolvency Registrar,2429.45
2619.0700,Official Assignee (High Court),2429.50
2619.0800,Court Receiver and Liquidator,2429.55
2619.0900,Sheriff,2429.60
2619.1000,Coroner,2429.65
2619.9900,"Legal Professionals, Other",2429.90
2621.0100,Archivist,2431.10
2621.0200,Curator (Museum),2431.20
2621.0300,"Restorer, Painting",2431.30
2621.0400,"Restorer, Lace and Textile",2431.40
2621.0500,"Restorer, Ceramics",2431.50
2621.0600,"Restorer, Paper and Prints",2431.55
2621.0700,"Restorer, Furniture",2431.60
2621.9900,"Archivists and Curators, Other",2431.90
2622.0100,Librarian,2432.10
2622.0200,Librarian (Film),2432.20
2622.0300,Tape Librarian/Librarian Digital/Librarian Media,2432.25
2622.0500,News Librarian,2432.40
2622.9900,"Librarians and Related Information Professionals,",2432.90
2631.0100,Economist,2441.10
2631.0200,Energy Economist,2441.20
2631.0300,Home Economist,2441.30
2631.9900,"Economists, Other",2441.90
2632.0100,"Sociologist, General",2442.10
2632.0200,Social Ecologist,2442.20
2632.0300,Clinical Sociologist,2442.25
2632.0400,Demographer,2442.30
2632.0500,Criminologists,2442.40
2632.0600,Penologist,2442.50
2632.0700,"Anthropologist, General",2442.60
2632.0800,"Anthropologist, Physical",2442.70
2632.0900,"Anthropologist, Cultural",2442.75
2632.1000,Genealogist,2442.77
2632.1100,Archaeologist,2442.80
2632.1200,Geographer,2442.85
2632.9900,"Sociologists, Anthropologists and Related",2442.90
2633.0100,Historian,2443.10
2633.0200,Biographer,2443.20
2633.0300,Epigraphist,2443.30
2633.0400,Numismatist,2443.40
2633.0500,Philatelist,2443.50
2633.0600,Political Scientist,2443.60
2633.9900,"Philosophers, Historians and Political Scientists,",2443.90
2634.0100,Psychologist,2445.10
2634.0200,Psychometrist,2445.20
2634.0300,"Psychologist, Engineering",2445.30
2634.0400,"Psychologist, Educational",2445.40
2634.0500,"Psychologist, Social",2445.50
2634.0600,Clinical Psychologist,2445.60
2634.0700,Industrial – Organizational Psychologist,2445.70
2634.0800,"Psychologist, Counselling",2445.80
2634.9900,"Psychologists, Other",2445.90
2635.0100,Labour Welfare Officer,2446.10
2635.0200,Women’s Welfare Officer,2446.20
2635.0300,Probation Officer,2446.30
2635.0400,Medical Social Worker,2446.40
2635.0500,Child and Family Social Worker,2446.42
2635.0600,Health Educator,2446.45
2635.0700,Women’s Welfare Organizer,2446.50
2635.0800,Child Welfare Organizer,2446.55
2635.0900,Family Planning Organizer,2446.60
2635.1000,Vocational Rehabilitation Counsellor,2446.80
2635.1100,"Counsellor, Marriage and Family",2446.85
2635.9900,"Social Work Professionals, Other",2446.90
2636.0100,Priest,2461.10
2636.0200,Purohit,2462.10
2636.9900,Ordained Religious and Non-Ordained Religious,2462.90
2641.0100,Author,2451.10
2641.0200,Critic,2451.15
2641.0300,Editor,2451.20
2641.0400,Sub-Editor,2451.25
2641.0500,Poet,2451.65
2641.0601,Script Writer,2451.70
2641.9900,"Authors, Journalists and Other Writers",2451.90
2642.0100,News Reporter,2451.30
2642.0200,Columnist,2451.35
2642.0300,Freelance Journalist,2451.40
2642.0400,Commentary Writer,2451.45
2642.0500,Radio Commentator,2451.55
2642.0600,Commentator (Motion Picture),2451.60
2643.0100,Language Specialist,2444.10
2643.0200,Translator,2444.20
2643.0300,Interpreter,2444.30
2643.9900,"Philologists, Translators and Interpreters, Other",2444.90
2651.0100,Sculptor,2452.10
2651.0200,Modeller (Except Stone),2452.20
2651.0300,Stone Modeller,2452.30
2651.0400,"Painter, Fine Art",2452.40
2651.0500,"Renovator, Paintings",2452.50
2651.0600,Cartoonist,2452.55
2651.9900,"Visual Artists, Other",2452.90
2652.0100,Music Composer,2453.10
2652.0200,Orchestra Conductor,2453.20
2652.0300,Singer,2453.30
2652.0400,"Instrumental Musician, String Instrument",2453.40
2652.0500,"Instrumental Musician, Percussion Instrument",2453.50
2652.0600,"Instrumental Musician, Wind Instrument",2453.60
2652.9900,"Musicians, Singers and Composers, Other",2453.90
2653.0100,Choreographer,2454.10
2653.0200,Nattuvan,2454.20
2653.0300,Dancer,2454.30
2653.9900,"Choreographers and Dancers, Other",2454.90
2654.0100,"Director, Theatrical",2455.10
2654.0200,"Director, Music",2455.20
2654.0300,Dance Director,2455.30
2654.0400,"Director, Research (Motion Picture, Radio & TV)",2455.40
2654.0500,"Manager, Recreation and Entertainment",1229.10
2654.0600,"Producer, Stage",1229.30
