code,description
2654,"Film, Stage and Related Directors and Producers"
2655,Actors
2656,"Announcers on Radio, Television and Other"
2659,Creative and Performing Artists Not Elsewhere
3111,Chemical and Physical Science Technicians
3112,Civil Engineering Technicians
3113,Electrical Engineering Technicians
3114,Electronics Engineering Technicians
3115,Mechanical Engineering Technicians
3116,Chemical Engineering Technicians
3117,Mining and Metallurgical Technicians
3118,Draughtpersons
3119,Physical and Engineering Science Technicians Not
3121,Mining Supervisors
3122,Manufacturing Supervisors
3123,Construction Supervisors
3131,Power Production Plant Operators
3132,Incinerator and Water Treatment Plant
3133,Chemical Processing Plant Controllers
3134,Petroleum and Natural Gas Refining Plant
3135,Metal Production Process Controllers
3139,Process Control Technicians Not Elsewhere
3141,Life Science Technicians (Excluding Medical)
3142,Agricultural Technicians
3143,Forestry Technicians
3151,Ship’s Engineers
3152,Ship’s Deck Officers and Pilots
3153,Aircraft Pilots and Related Associate
3154,Air Traffic Controllers
3155,Air Traffic Safety Electronics Technicians
3211,Medical Imaging and Therapeutic Equipment
3212,Medical and Pathology Laboratory Technicians
3213,Pharmaceutical Technicians and Assistants
3214,Medical and Dental Prosthetic Technicians
3221,Nursing Associate Professionals
3222,Midwifery Associate Professionals
3230,Traditional and Complementary Medicine
3240,Veterinary Technicians and Assistants
3251,Dental Assistants and Therapists
3252,Medical Records and Health Information
3253,Community Health Workers
3254,Dispensing Opticians
3255,Physiotherapy Technicians and Assistants
3256,Medical Assistants
3257,Environmental and Occupational Health
3258,Ambulance Workers
3259,Modern Health Associate Professionals Not
3311,Securities and Finance Dealers and Brokers
3312,Credit and Loan Officers
3313,Accounting Associate Professionals
3314,"Statistical, Mathematical and Related Associate"
3315,Valuers and Loss Assessors
3321,Insurance Representatives
3322,Commercial Sales Representatives
3323,Buyers
3324,Trade Brokers
3331,Clearing and Forwarding Agents
3332,Conference and Event Planners
3333,Employment Agents and Contractors
3334,Real Estate Agents and Property Managers
3339,Business Service Agents Not Elsewhere Classified
3341,Office Supervisors
3342,Legal Secretaries
3343,Administrative and Executive Secretaries
3344,Medical Secretaries
3351,Customs and Border Inspectors
3352,Government Tax and Excise Officials
3353,Government Social Benefits Officials
3354,Government Licensing Officials
3355,Police Inspectors and Detectives
3359,Government Regulatory Associate Professionals
3411,Legal and Related Associate Professionals
3412,Social Work Associate Professionals
3413,Religious Associate Professionals
3421,Athletes and Sports Players
3422,"Sports Coaches, Instructors and Officials"
3423,"Fitness and Recreation Instructors, and"
3431,Photographers
3432,Interior Designers
3433,"Gallery, Museum and Library Technicians"
3434,Chefs
3435,Other Artistic and Cultural Associate
3511,Information and Communication Technology
3512,Information and Communication Technology
3513,Computer Network and Systems Technician
3514,Web Technician
3521,Broadcasting and Audiovisual Technicians
3522,Telecommunication Engineering Technicians
4110,General Office Clerks
4120,Secretaries (General)
4131,Typists and Word Processing Operators
4132,Data Entry Clerks
4211,Bank Tellers and Related Clerks
4212,"Bookmakers, Croupiers and Related"
4213,Pawnbrokers and Moneylenders
4214,Debt Collectors and Related Workers
4221,Travel Consultants and Clerks
4222,Contact Centre Information Clerks
4223,Telephone Switchboard Operators
4224,Hotel Receptionists
4225,Inquiry Clerks
4226,Receptionist (General)
4227,Survey and Market Research Interviewers
4229,Client Information Worker Not Elsewhere
4311,Accounting and Bookkeeping Clerks
4312,Statistical Finance and Insurance Clerks
4313,Payroll Clerks
4321,Stock Clerks
4322,Production Clerks
4323,Transport Clerks
4411,Library Clerks
4412,Mail Carriers and Sorting Clerks
4413,"Coding, Proofreading and Related Clerks"
4414,Scribes and Related Clerks
4415,Filing and Copying Clerks
4416,Personnel Clerks
4419,Clerical Support Workers Not Elsewhere
5111,Travel Attendants and Travel Stewards
5112,Transport Conductors
5113,Travel Guides
5120,Cooks
5131,Waiters
5132,Bartenders
5141,Hairdressers
5142,Beauticians and Related Workers
5151,Cleaning and Housekeeping Supervisors in
5152,Domestic Housekeepers
5153,Building Caretakers
5161,"Astrologers, Fortune Tellers and Related"
5162,Companions and Valets
5163,Undertakers and Embalmers
5164,Pet Groomers and Animal Care Workers
5165,Driving Instructors
5169,Personal Service Workers Not Elsewhere
5211,Stall and Market Salespersons
5212,Street Food Salespersons
5221,Shopkeepers
5222,Shop Supervisors
5223,Shop Sales Assistants
5230,Cashiers and Ticket Clerks
5241,Fashion and Other Models
5242,Sales Demonstrators
5243,Door-to-Door Salespersons
5244,Contact Centre Salespersons
5245,Service Station Attendants
5246,Food Service Counter Attendants
5249,Sales Workers Not Elsewhere Classified
5311,Child Care Workers
5312,Teachers' Aides
5321,Healthcare Assistants
5322,Home-Based Personal Care Workers
5329,Personal Care Workers in Health Services
5411,Fire Fighters
5412,Police Officers
5413,Prison Guards
5414,Security Guards
5419,Protective Services Workers Not Elsewhere
6111,Field Crop and Vegetable Growers
6112,Tree and Shrub Crop Growers
6113,"Gardeners, Horticultural and Nursery"
6114,Mixed Crop Growers
6115,Medicinal and Aromatic Plant Cultivators
6116,Agriculture Information Management
6121,Livestock and Dairy Producers
6122,Poultry Producers
6123,Apiarists and Sericulturists
6129,Animal Producers Not Elsewhere Classified
6130,Mixed Crop and Animal Workers
6210,Forestry and Related Workers
6221,Aquaculture Workers
6222,Inland and Coastal Waters Fishery Workers
6223,Deep Sea Fishery Workers
6224,Hunters and Trappers
6310,Subsistence Crop Farmers
6320,Subsistence Livestock Farmers
6330,Subsistence Mixed Crop and Livestock
6340,"Subsistence Fishers, Hunters, Trappers and"
7111,House Builders
7112,Bricklayers and Related Workers
7113,"Stonemasons, Stone Cutters, Splitters and"
7114,"Concrete Placers, Concrete Finishers and"
7115,Carpenters and Joiners
7119,Building Frame and Related Traders
7121,Roofers
7122,Floor Layers and Tile Setters
7123,Plasterers
7124,Insulation Workers
7125,Glaziers
7126,Plumbers and Pipe Fitters
7127,Air-Conditioning and Refrigeration
7131,Painters and Related Workers
7132,Spray Painters and Varnishers
7133,Building Structure Cleaners
7211,Metal Moulders and Core Makers
7212,Welders and Flame Cutters
7213,Sheet Metal Workers
7214,Structural Metal Preparers and Erectors
7215,Riggers and Cable Splicers
7221,"Blacksmiths, Hammersmith and Forging"
7223,Metal Working Machine Tool Setters and
7224,"Metal Polishers, Wheel Grinders and Tool"
7231,Motor Vehicle Mechanics and Repairers
7232,Aircraft Engine Mechanics and Repairers
7233,Agricultural and Industrial Machinery
7234,Bicycle and Related Repairers
7311,Precision Instrument Makers and Repairers
7312,Musical Instrument Makers and Tuners
7313,Jewellery and Precision Metal Workers
7314,Potters and Related Workers
7315,"Glass Makers, Cutters, Grinders and"
7316,"Signwriter, Decorative Painters, Engravers"
7317,"Handicraft Workers in Wood, Basketry and"
7318,"Handicraft Workers in Textiles, Leather"
7319,Handicrafts Workers Not Elsewhere
7321,Pre-Press Technicians
7322,Printers
7323,Print Finishing and Binding Workers
7411,Building and Related Electricians
7412,Electrical Mechanics and Fitters
7413,Electrical Line Installers and Repairers
7419,Electrical and Electronic Equipment
7421,Electronic Mechanics and Servicers
7422,Information and Communications
7511,"Butchers, Fishmongers and Related Food"
7512,"Bakers, Pastry Cooks and Confectionery"
7513,Dairy Products Makers
7514,"Fruits, Vegetables and Related Preservers"
7515,Food and Beverage Tasters and Graders
7516,Tobacco Preparers and Tobacco Products
7521,Wood Treaters
7522,Cabinet Makers and Related Workers
7523,Wood Working Machine Tool Setters and
7531,"Tailors, Dressmakers, Furriers and Hatters"
7532,Garment and Related Pattern Makers and
7533,"Sewing, Embroiderers and Related"
7534,Upholsterers and Related Workers
7535,"Pelt Dressers, Tanners and Fellmongers"
7536,Shoemakers and Related Workers
7541,Underwater Divers
7542,Shotfirers and Blasters
7543,Product Graders and Testers (Excluding
7544,Fumigators and Other Pest and Weed
7549,Craft and Related Workers Not Elsewhere
8111,Miners and Quarriers
8113,Well Drillers and Borers and Related
8114,"Cement, Stone and Other Mineral Products"
8121,Metal Processing Plant Operators
8122,"Metal Finishing, Plating and Coating"
8131,Chemical Products Plant and Machine
8132,Photographic Products Machine Operators
8141,Rubber Products Machine Operators
8142,Plastic Products Machine Operators
8143,Paper Products Machine Operators
8151,"Fibre Preparing, Spinning and Winding"
8152,Weaving and Knitting Machine Operators
8153,Sewing Machine Operators
8154,"Bleaching, Dyeing and Cleaning Machine"
8155,Fur and Leather Preparing Machine
8156,Shoe Making and Related Machine
8157,Laundry Machine Operators
8159,"Textile, Fur and Leather Products Machine"
8160,Food and Related Products Machine
8171,Pulp and Papermaking Plant Operators
8172,Wood Processing Plant Operators
8181,Glass and Ceramics Plant Operators
8182,Steam Engine and Boiler Operators
8183,"Packing, Bottling and Labelling Machine"
8189,Gem and Jewellery Machine Operators
8211,Mechanical Machinery Assemblers
8212,Electrical and Electronic Equipment
8219,Assemblers Not Elsewhere Classified
8311,Locomotive Engine Drivers
8312,"Railway Braker, Signal and Switch"
8321,Motorcycle Drivers
8322,"Car, Taxi and Van Drivers"
8331,Bus and Tram Drivers
8332,Heavy Truck and Lorry Drivers
8341,Mobile Farm and Forestry Plant Operators
8342,Earth Moving and Related Plant Operators
8343,"Crane, Hoist and Related Plant Operators"
8344,Lifting Truck Operators
8350,Ships’ Deck Crews and Related Workers
9111,Domestic Cleaners and Helpers
9112,"Cleaners and Helpers in Offices, Hotels and"
9121,Hand Launderers and Pressers
9122,Vehicle Cleaners
9123,Window Cleaners
9129,Other Cleaning Workers
9211,Crop Farm Labourers
9212,Livestock Farm Labourers
9213,Mixed Crop and Livestock Farm Labourers
9214,Garden and Horticultural Labourers
9215,Forestry Labourers
9216,Fishery and Aquaculture Labourers
9311,Mining and Quarrying Labourers
9312,Civil Engineering Labourers
9313,Building Construction Labourers
9321,Hand Packers
9329,Manufacturing Labourers Not Elsewhere
9331,Hand and Pedal Vehicle Drivers
9332,Drivers of Animal-Drawn Vehicles and
9333,Freight Handlers
9334,Shelf Fillers
9411,Fast Food Preparers
9412,Kitchen Helpers
9510,Street and Related Service Workers
9520,Street Vendors (Excluding Food)
9611,Garbage and Recycling Collectors
9612,Refuse Sorters
9613,Sweepers and Related Labourers
9621,"Messengers, Package Deliverers and"
9622,Odd Job Persons
9623,Meter Readers and Vending Machine
9624,Water and Firewood Collectors
9629,Elementary Workers Not Elsewhere
